post_id,username,date,topic,hashtag,text,likes,retweets,replies,total_engagement,month
1,user_189,2026-02-27 04:00:00,Sports,#Football,Really happy and excited about this Sports news! #Football,23.0,45,10,78.0,2026-02
2,user_9,2026-06-01 13:00:00,Sports,#Cricket,This Sports update is disappointing and poorly done. #Cricket,45.0,2,1,48.0,2026-06
3,user_144,2026-06-04 00:00:00,Technology,#Innovation,"This is the best Technology update I've seen, fantastic work! #Innovation",2.0,30,7,39.0,2026-06
4,user_115,2026-04-18 07:00:00,Entertainment,#Bollywood,Sharing details about the latest Entertainment developments. #Bollywood,61.0,0,28,89.0,2026-04
5,user_88,2026-06-28 13:00:00,Food,#Recipe,Here is an update about Food for everyone to see. #Recipe,89.0,3,1,93.0,2026-06
6,user_25,2026-01-24 12:00:00,Food,#Foodie,Really happy and excited about this Food news! #Foodie,10.0,5,5,20.0,2026-01
7,user_118,2026-01-12 23:00:00,Travel,#Explore,An update on Travel matters was released today. #Explore,28.0,5,7,40.0,2026-01
8,user_161,2026-05-22 09:00:00,Sports,#Cricket,"Sports news for today, check it out. #Cricket",7.0,5,3,15.0,2026-05
9,user_59,2026-01-12 21:00:00,Travel,#Travel,Feeling sad and upset about this Travel outcome. #Travel,30.0,23,1,54.0,2026-01
10,user_117,2026-04-08 08:00:00,Food,#Foodie,Just sharing some Food information today. #Foodie,36.0,13,0,49.0,2026-04
11,user_180,2026-06-21 08:00:00,Travel,#Vacation,Really happy and excited about this Travel news! #Vacation,46.0,2,0,48.0,2026-06
12,user_119,2026-03-04 05:00:00,Sports,#Match,This Sports news is terrible and frustrating to hear. #Match,148.0,50,13,211.0,2026-03
13,user_84,2026-02-26 21:00:00,Health,#MentalHealth,"This Health update made my day, absolutely brilliant! #MentalHealth",18.0,1,9,28.0,2026-02
14,user_17,2026-04-13 08:00:00,Technology,#Coding,"I absolutely love this Technology content, it's amazing! #Coding",29.0,1,5,35.0,2026-04
15,user_128,2026-02-24 20:00:00,Entertainment,#Celebrity,An update on Entertainment matters was released today. #Celebrity,1.0,36,2,39.0,2026-02
16,user_36,2026-02-06 08:00:00,Health,#Gym,Sharing details about the latest Health developments. #Gym,54.0,5,5,64.0,2026-02
17,user_150,2026-05-30 13:00:00,Entertainment,#Celebrity,An update on Entertainment matters was released today. #Celebrity,39.0,3,27,69.0,2026-05
18,user_194,2026-05-07 02:00:00,Health,#MentalHealth,"This is the best Health update I've seen, fantastic work! #MentalHealth",74.0,42,18,134.0,2026-05
19,user_153,2026-06-24 13:00:00,Technology,#Tech,Just sharing some Technology information today. #Tech,45.0,38,0,83.0,2026-06
20,user_142,2026-05-16 08:00:00,Sports,#WorldCup,"Wonderful experience with Sports today, feeling grateful! #WorldCup",10.0,0,3,13.0,2026-05
21,user_88,2026-03-10 20:00:00,Technology,#Innovation,"I really hate how this Technology situation turned out, so disappointing. #Innovation",24.0,4,14,42.0,2026-03
22,user_185,2026-01-01 23:00:00,Sports,#WorldCup,"This is the best Sports update I've seen, fantastic work! #WorldCup",22.0,4,6,32.0,2026-01
23,user_77,2026-01-28 20:00:00,Food,#Restaurant,Just sharing some Food information today. #Restaurant,7.0,24,0,31.0,2026-01
24,user_154,2026-05-16 00:00:00,Entertainment,#Bollywood,"This is the best Entertainment update I've seen, fantastic work! #Bollywood",216.0,22,1,239.0,2026-05
25,user_15,2026-03-20 07:00:00,Travel,#Explore,"I really hate how this Travel situation turned out, so disappointing. #Explore",0.0,25,9,34.0,2026-03
26,user_195,2026-05-05 02:00:00,Entertainment,#Movies,Here is an update about Entertainment for everyone to see. #Movies,65.0,22,0,87.0,2026-05
27,user_136,2026-02-12 08:00:00,Politics,#News,"Great job on this Politics thing, truly impressive! #News",22.0,1,15,38.0,2026-02
28,user_172,2026-03-21 12:00:00,Health,#Fitness,An update on Health matters was released today. #Fitness,48.0,6,0,54.0,2026-03
29,user_58,2026-01-31 07:00:00,Travel,#Adventure,This Travel update is disappointing and poorly done. #Adventure,18.0,5,10,33.0,2026-01
30,user_57,2026-02-28 18:00:00,Sports,#Match,"Wonderful experience with Sports today, feeling grateful! #Match",50.0,32,5,87.0,2026-02
31,user_9,2026-02-28 02:00:00,Technology,#AI,"This Technology update made my day, absolutely brilliant! #AI",6.0,18,11,35.0,2026-02
32,user_55,2026-06-21 15:00:00,Travel,#Explore,"This is the best Travel update I've seen, fantastic work! #Explore",41.0,22,5,68.0,2026-06
33,user_122,2026-05-02 07:00:00,Politics,#News,An update on Politics matters was released today. #News,36.0,8,0,44.0,2026-05
34,user_106,2026-04-01 13:00:00,Health,#Gym,"I absolutely love this Health content, it's amazing! #Gym",5.0,0,8,13.0,2026-04
35,user_187,2026-01-16 12:00:00,Education,#Education,Here is an update about Education for everyone to see. #Education,18.0,10,19,47.0,2026-01
36,user_138,2026-02-19 06:00:00,Travel,#Vacation,Here is an update about Travel for everyone to see. #Vacation,14.0,7,11,32.0,2026-02
37,user_20,2026-04-29 07:00:00,Education,#Students,"This is the best Education update I've seen, fantastic work! #Students",12.0,1,2,15.0,2026-04
38,user_139,2026-01-13 20:00:00,Education,#Education,An update on Education matters was released today. #Education,8.0,39,13,60.0,2026-01
39,user_124,2026-04-15 15:00:00,Technology,#Tech,Just sharing some Technology information today. #Tech,50.0,30,13,93.0,2026-04
40,user_100,2026-04-08 00:00:00,Entertainment,#Music,Here is an update about Entertainment for everyone to see. #Music,10.0,33,6,49.0,2026-04
41,user_188,2026-04-19 22:00:00,Food,#Cooking,"Food news for today, check it out. #Cooking",82.0,33,3,118.0,2026-04
42,user_189,2026-01-15 18:00:00,Education,#Learning,Really happy and excited about this Education news! #Learning,5.0,3,4,12.0,2026-01
43,user_129,2026-05-30 15:00:00,Technology,#AI,Here is an update about Technology for everyone to see. #AI,85.0,29,0,114.0,2026-05
44,user_153,2026-02-17 02:00:00,Politics,#Politics,"Wonderful experience with Politics today, feeling grateful! #Politics",35.0,8,2,45.0,2026-02
45,user_64,2026-01-31 18:00:00,Sports,#WorldCup,This Sports news is terrible and frustrating to hear. #WorldCup,35.0,6,22,63.0,2026-01
46,user_81,2026-05-25 16:00:00,Technology,#Innovation,"I'm so angry about this Technology decision, it's awful. #Innovation",19.0,10,9,38.0,2026-05
47,user_102,2026-03-03 08:00:00,Food,#Cooking,"This Food update made my day, absolutely brilliant! #Cooking",22.0,53,26,101.0,2026-03
48,user_3,2026-03-22 02:00:00,Politics,#Policy,"Worst experience ever with Politics, totally unacceptable. #Policy",14.0,10,2,26.0,2026-03
49,user_55,2026-01-19 17:00:00,Education,#Education,This Education update is disappointing and poorly done. #Education,16.0,0,7,23.0,2026-01
50,user_73,2026-03-04 11:00:00,Food,#Foodie,Really happy and excited about this Food news! #Foodie,34.0,0,2,36.0,2026-03
51,user_136,2026-06-06 20:00:00,Politics,#Government,This Politics update is disappointing and poorly done. #Government,119.0,4,1,124.0,2026-06
52,user_35,2026-06-19 03:00:00,Technology,#Coding,This Technology update is disappointing and poorly done. #Coding,33.0,63,2,98.0,2026-06
53,user_73,2026-02-09 08:00:00,Food,#Restaurant,"I absolutely love this Food content, it's amazing! #Restaurant",35.0,21,2,58.0,2026-02
54,user_65,2026-05-10 15:00:00,Entertainment,#Celebrity,Just sharing some Entertainment information today. #Celebrity,65.0,6,8,79.0,2026-05
55,user_86,2026-01-12 00:00:00,Technology,#Coding,"Great job on this Technology thing, truly impressive! #Coding",50.0,11,0,61.0,2026-01
56,user_181,2026-04-24 17:00:00,Politics,#Election,"Worst experience ever with Politics, totally unacceptable. #Election",90.0,5,1,96.0,2026-04
57,user_140,2026-06-26 04:00:00,Health,#Health,"I really hate how this Health situation turned out, so disappointing. #Health",2.0,13,9,24.0,2026-06
58,user_33,2026-02-07 13:00:00,Technology,#Innovation,An update on Technology matters was released today. #Innovation,0.0,10,2,12.0,2026-02
59,user_64,2026-02-23 21:00:00,Technology,#Coding,"I absolutely love this Technology content, it's amazing! #Coding",51.0,2,9,62.0,2026-02
60,user_40,2026-06-08 23:00:00,Sports,#WorldCup,"Wonderful experience with Sports today, feeling grateful! #WorldCup",24.0,41,1,66.0,2026-06
61,user_189,2026-01-07 05:00:00,Entertainment,#Drama,Just sharing some Entertainment information today. #Drama,20.0,1,20,41.0,2026-01
62,user_180,2026-03-10 05:00:00,Travel,#Vacation,"Travel news for today, check it out. #Vacation",104.0,4,8,116.0,2026-03
63,user_118,2026-02-26 06:00:00,Sports,#WorldCup,"I absolutely love this Sports content, it's amazing! #WorldCup",84.0,12,6,102.0,2026-02
64,user_50,2026-01-07 21:00:00,Travel,#Vacation,"This is the best Travel update I've seen, fantastic work! #Vacation",13.0,1,18,32.0,2026-01
65,user_131,2026-03-31 20:00:00,Health,#Wellness,"I absolutely love this Health content, it's amazing! #Wellness",115.0,15,3,133.0,2026-03
66,user_67,2026-01-08 03:00:00,Health,#Wellness,This Health update is disappointing and poorly done. #Wellness,21.0,19,18,58.0,2026-01
67,user_112,2026-01-28 19:00:00,Politics,#Politics,"Worst experience ever with Politics, totally unacceptable. #Politics",109.0,22,8,139.0,2026-01
68,user_30,2026-06-05 16:00:00,Travel,#Adventure,This is a report regarding recent Travel activity. #Adventure,4.0,2,18,24.0,2026-06
69,user_112,2026-01-12 22:00:00,Health,#Wellness,Just sharing some Health information today. #Wellness,46.0,0,0,46.0,2026-01
70,user_18,2026-04-04 13:00:00,Technology,#Tech,This Technology update is disappointing and poorly done. #Tech,54.0,0,1,55.0,2026-04
71,user_80,2026-03-18 16:00:00,Travel,#Travel,Feeling sad and upset about this Travel outcome. #Travel,39.0,17,8,64.0,2026-03
72,user_50,2026-05-22 04:00:00,Health,#Wellness,"This Health update made my day, absolutely brilliant! #Wellness",12.0,18,2,32.0,2026-05
73,user_78,2026-06-07 18:00:00,Health,#Fitness,"I'm so angry about this Health decision, it's awful. #Fitness",19.0,20,8,47.0,2026-06
74,user_111,2026-03-15 06:00:00,Health,#Wellness,"I really hate how this Health situation turned out, so disappointing. #Wellness",94.0,16,6,116.0,2026-03
75,user_189,2026-05-11 15:00:00,Travel,#Vacation,"I'm so angry about this Travel decision, it's awful. #Vacation",4.0,6,2,12.0,2026-05
76,user_159,2026-06-19 20:00:00,Politics,#News,"Worst experience ever with Politics, totally unacceptable. #News",13.0,54,3,70.0,2026-06
77,user_38,2026-02-27 06:00:00,Travel,#Explore,"This is the best Travel update I've seen, fantastic work! #Explore",111.0,14,12,137.0,2026-02
78,user_107,2026-01-19 14:00:00,Technology,#Innovation,"Great job on this Technology thing, truly impressive! #Innovation",34.0,12,5,51.0,2026-01
79,user_38,2026-04-13 07:00:00,Entertainment,#Drama,"Entertainment news for today, check it out. #Drama",10.0,19,2,31.0,2026-04
80,user_179,2026-02-26 05:00:00,Technology,#Gadgets,Here is an update about Technology for everyone to see. #Gadgets,1.0,15,1,17.0,2026-02
81,user_119,2026-04-27 04:00:00,Education,#Education,"This is the best Education update I've seen, fantastic work! #Education",141.0,46,19,206.0,2026-04
82,user_141,2026-05-10 13:00:00,Travel,#Wanderlust,"Travel news for today, check it out. #Wanderlust",23.0,0,21,44.0,2026-05
83,user_193,2026-04-26 08:00:00,Education,#OnlineClass,Sharing details about the latest Education developments. #OnlineClass,27.0,51,26,104.0,2026-04
84,user_62,2026-05-05 20:00:00,Entertainment,#Bollywood,This is a report regarding recent Entertainment activity. #Bollywood,95.0,5,3,103.0,2026-05
85,user_86,2026-03-02 08:00:00,Food,#Cooking,Feeling sad and upset about this Food outcome. #Cooking,95.0,5,1,101.0,2026-03
86,user_99,2026-02-08 07:00:00,Travel,#Vacation,Here is an update about Travel for everyone to see. #Vacation,40.0,41,9,90.0,2026-02
87,user_139,2026-04-15 10:00:00,Politics,#Policy,Here is an update about Politics for everyone to see. #Policy,42.0,1,7,50.0,2026-04
88,user_179,2026-04-10 18:00:00,Education,#OnlineClass,This Education news is terrible and frustrating to hear. #OnlineClass,230.0,2,5,237.0,2026-04
89,user_91,2026-05-03 00:00:00,Technology,#Gadgets,An update on Technology matters was released today. #Gadgets,104.0,20,9,133.0,2026-05
90,user_57,2026-05-20 19:00:00,Food,#Restaurant,"Food news for today, check it out. #Restaurant",60.0,6,2,68.0,2026-05
91,user_87,2026-01-08 12:00:00,Education,#OnlineClass,"Great job on this Education thing, truly impressive! #OnlineClass",82.0,24,16,122.0,2026-01
92,user_7,2026-06-09 17:00:00,Health,#Fitness,"Health news for today, check it out. #Fitness",122.0,10,5,137.0,2026-06
93,user_110,2026-01-22 20:00:00,Health,#Health,Feeling sad and upset about this Health outcome. #Health,80.0,15,9,104.0,2026-01
94,user_84,2026-03-08 12:00:00,Politics,#Politics,Just sharing some Politics information today. #Politics,79.0,33,3,115.0,2026-03
95,user_65,2026-03-13 13:00:00,Entertainment,#Drama,"Worst experience ever with Entertainment, totally unacceptable. #Drama",23.0,1,6,30.0,2026-03
96,user_58,2026-01-14 11:00:00,Sports,#Match,Feeling sad and upset about this Sports outcome. #Match,1.0,9,6,16.0,2026-01
97,user_52,2026-01-08 07:00:00,Sports,#Cricket,Sharing details about the latest Sports developments. #Cricket,16.0,13,0,29.0,2026-01
98,user_30,2026-05-02 21:00:00,Technology,#Tech,This Technology news is terrible and frustrating to hear. #Tech,1.0,25,3,29.0,2026-05
99,user_156,2026-02-12 19:00:00,Entertainment,#Celebrity,"Worst experience ever with Entertainment, totally unacceptable. #Celebrity",6.0,11,11,28.0,2026-02
100,user_7,2026-01-28 18:00:00,Sports,#Sports,Just sharing some Sports information today. #Sports,12.0,14,0,26.0,2026-01
